Family	Name	CardID	Sum
Ivanov	Sergej	6666-6666-6666-0001	100000
Petrov	Fyodor	6666-6666-6666-0002	150000
Sidorov	Evgenij	6666-6666-6666-0003	25000
Goldstein	Veniamin	6666-6666-6666-0004	950000
Verbitsky	Mikhail	6666-6666-6666-0005	990000
Nikolaev	Pyotr	6666-6666-6666-0006	200000
Katz	Paul	6666-6666-6666-0007	920000
Lemehin	Ivan	6666-6666-6666-0008	110000
Stepanov	Onufrij	6666-6666-6666-0009	170000
Ershov	Nikolay	6666-6666-6666-0010	50000
Engels	Fridrich	6666-6666-6666-0011	585000
Tikhonov	Alexey	6666-6666-6666-0012	324000
Lenin	Vladimir	6666-6666-6666-0013	60000
